run,method,split,n_correct,n_wrong,n_total,overall_acc,mean_sim_correct,mean_sim_wrong,median_sim_correct,median_sim_wrong,n_above_0.5,n_below_0.5,P_correct_above_0.5,P_correct_below_0.5,lift_at_0.5,n_above_0.6,n_below_0.6,P_correct_above_0.6,P_correct_below_0.6,lift_at_0.6,n_above_0.7,n_below_0.7,P_correct_above_0.7,P_correct_below_0.7,lift_at_0.7,n_above_0.8,n_below_0.8,P_correct_above_0.8,P_correct_below_0.8,lift_at_0.8,n_above_0.9,n_below_0.9,P_correct_above_0.9,P_correct_below_0.9,lift_at_0.9
r16_retrieval_8k,retrieval_practice,indist,57,1943,2000,0.0285,0.7583660938237843,0.6443344851743911,0.7848323583602905,0.6255762577056885,1550,450,0.032258063554763794,0.015555555932223797,0.016702507622539997,1125,875,0.03911111131310463,0.01485714316368103,0.0242539681494236,758,1242,0.04617414250969887,0.017713366076350212,0.028460776433348656,424,1576,0.06603773683309555,0.018401015549898148,0.0476367212831974,179,1821,0.09497206658124924,0.021965952590107918,0.07300611399114132
r16_retrieval_8k,retrieval_practice,ood,125,3407,3532,0.03539071347678369,0.756897493839264,0.630129790801193,0.7872697710990906,0.6043144464492798,2645,887,0.04158790037035942,0.016910934820771217,0.024676965549588203,1832,1700,0.053493451327085495,0.015882352367043495,0.037611098960042,1224,2308,0.06372549384832382,0.020363951101899147,0.043361542746424675,700,2832,0.08428571373224258,0.02330508455634117,0.06098062917590141,295,3237,0.13898305594921112,0.025949953123927116,0.113033102825284
r16_retrieval_random_seed1,retrieval_practice,indist,66,1934,2000,0.033,0.7069053988565098,0.6455599874442958,0.6895902156829834,0.6260732710361481,1550,450,0.037419356405735016,0.017777778208255768,0.019641578197479248,1125,875,0.040888890624046326,0.022857142612338066,0.01803174801170826,758,1242,0.04353561997413635,0.026570048183202744,0.01696557179093361,424,1576,0.05424528196454048,0.02728426456451416,0.02696101740002632,179,1821,0.06145251542329788,0.030203185975551605,0.031249329447746277
r16_retrieval_random_seed1,retrieval_practice,ood,114,3418,3532,0.03227633069082673,0.6941205741543519,0.6326315501860669,0.6814392805099487,0.6064935922622681,2645,887,0.03667296841740608,0.019165726378560066,0.017507242038846016,1832,1700,0.03984716162085533,0.024117646738886833,0.015729514881968498,1224,2308,0.043300654739141464,0.026429809629917145,0.01687084510922432,700,2832,0.04857143014669418,0.028248587623238564,0.02032284252345562,295,3237,0.0779661014676094,0.02811245061457157,0.049853650853037834
r16_retrieval_seed1_held,retrieval_practice,indist,53,1947,2000,0.0265,0.7595758702395097,0.6445358248172078,0.7827511429786682,0.6253021955490112,1550,450,0.029677418991923332,0.015555555932223797,0.014121863059699535,1125,875,0.03822222352027893,0.011428571306169033,0.026793652214109898,758,1242,0.04881266504526138,0.012882447801530361,0.03593021724373102,424,1576,0.05424528196454048,0.01903553307056427,0.03520974889397621,179,1821,0.08938547223806381,0.02031850628554821,0.0690669659525156
r16_retrieval_seed1_held,retrieval_practice,ood,123,3409,3532,0.03482446206115515,0.7123241536016387,0.631812412172652,0.719849169254303,0.6058328747749329,2645,887,0.0389413982629776,0.02254791371524334,0.01639348454773426,1832,1700,0.0463973805308342,0.02235294133424759,0.02404443919658661,1224,2308,0.05310457572340965,0.025129983201622963,0.02797459252178669,700,2832,0.06428571790456772,0.027542373165488243,0.036743344739079475,295,3237,0.09830508381128311,0.029039233922958374,0.06926584988832474
r16_standard_8k,standard_ft,indist,48,1952,2000,0.024,0.796524070824186,0.6439219347552442,0.8416073024272919,0.6254230439662933,1550,450,0.028387097641825676,0.008888889104127884,0.019498208537697792,1125,875,0.035555556416511536,0.009142857044935226,0.02641269937157631,758,1242,0.047493401914834976,0.009661835618317127,0.03783156629651785,424,1576,0.06603773683309555,0.012690355069935322,0.05334738176316023,179,1821,0.08938547223806381,0.017572762444615364,0.07181270979344845
r16_standard_8k,standard_ft,ood,116,3416,3532,0.03284258210645526,0.751764395113649,0.6306380896242357,0.795011967420578,0.6056128740310669,2645,887,0.0389413982629776,0.014656144194304943,0.024285254068672657,1832,1700,0.04585152864456177,0.01882352866232395,0.027027999982237816,1224,2308,0.05964052304625511,0.018630849197506905,0.04100967384874821,700,2832,0.08285713940858841,0.02048022672533989,0.06237691268324852,295,3237,0.12542372941970825,0.024405313655734062,0.10101841576397419
r16_standard_mastered_seed1,standard_ft_mastered,indist,47,1953,2000,0.0235,0.7329018166724671,0.6455311759642558,0.7625158429145813,0.6259729862213135,1550,450,0.025806451216340065,0.015555555932223797,0.010250895284116268,1125,875,0.031111111864447594,0.01371428556740284,0.017396826297044754,758,1242,0.0343007929623127,0.01690821163356304,0.017392581328749657,424,1576,0.044811319559812546,0.017766498029232025,0.02704482153058052,179,1821,0.0670391097664833,0.01922020874917507,0.047818901017308235
r16_standard_mastered_seed1,standard_ft_mastered,ood,115,3417,3532,0.032559456398640996,0.6793748868548352,0.6331098249930542,0.6641647219657898,0.6067705750465393,2645,887,0.03402646631002426,0.02818489260971546,0.0058415737003088,1832,1700,0.03820960596203804,0.026470588520169258,0.011739017441868782,1224,2308,0.04411764815449715,0.026429809629917145,0.017687838524580002,700,2832,0.04714285582304001,0.028954802080988884,0.018188053742051125,295,3237,0.07118643820285797,0.029039233922958374,0.0421472042798996
