run,method,split,n_wins,n_paraphrase_wins,frac_paraphrase_wins,base_rate_paraphrase,enrichment
r16_retrieval_8k,retrieval_practice,indist,57,35,0.6140350877192983,0.379,0.23503508771929826
r16_retrieval_8k,retrieval_practice,ood,125,78,0.624,0.3465458663646659,0.2774541336353341
r16_retrieval_random_seed1,retrieval_practice,indist,66,33,0.5,0.379,0.121
r16_retrieval_random_seed1,retrieval_practice,ood,114,53,0.4649122807017544,0.3465458663646659,0.1183664143370885
r16_retrieval_seed1_held,retrieval_practice,indist,53,37,0.6981132075471698,0.379,0.31911320754716976
r16_retrieval_seed1_held,retrieval_practice,ood,123,65,0.5284552845528455,0.3465458663646659,0.18190941818817963
r16_standard_8k,standard_ft,indist,48,36,0.75,0.379,0.371
r16_standard_8k,standard_ft,ood,116,73,0.6293103448275862,0.3465458663646659,0.2827644784629203
r16_standard_mastered_seed1,standard_ft_mastered,indist,47,26,0.5531914893617021,0.379,0.17419148936170215
r16_standard_mastered_seed1,standard_ft_mastered,ood,115,54,0.46956521739130436,0.3465458663646659,0.12301935102663847
r16_standard_seed0_det,standard_ft,indist,52,27,0.5192307692307693,0.379,0.14023076923076927
r16_standard_seed0_det,standard_ft,ood,108,59,0.5462962962962963,0.3465458663646659,0.1997504299316304
r16_standard_seed1_held,standard_ft,indist,68,38,0.5588235294117647,0.379,0.17982352941176472
r16_standard_seed1_held,standard_ft,ood,119,58,0.48739495798319327,0.3465458663646659,0.14084909161852738
r32_retrieval,retrieval_practice,indist,63,37,0.5873015873015873,0.379,0.20830158730158732
r32_retrieval,retrieval_practice,ood,126,74,0.5873015873015873,0.3465458663646659,0.24075572093692144
r32_standard,standard_ft,indist,55,28,0.509090909090909,0.379,0.13009090909090903
r32_standard,standard_ft,ood,108,68,0.6296296296296297,0.3465458663646659,0.28308376326496376
r8_retrieval_random,retrieval_practice,indist,52,26,0.5,0.379,0.121
r8_retrieval_random,retrieval_practice,ood,105,45,0.42857142857142855,0.3465458663646659,0.08202556220676266
r8_retrieval_seed1_held,retrieval_practice,indist,45,23,0.5111111111111111,0.379,0.13211111111111107
r8_retrieval_seed1_held,retrieval_practice,ood,114,61,0.5350877192982456,0.3465458663646659,0.18854185293357972
r8_retrieval_seed2,retrieval_practice,indist,52,28,0.5384615384615384,0.379,0.15946153846153843
r8_retrieval_seed2,retrieval_practice,ood,126,64,0.5079365079365079,0.3465458663646659,0.16139064157184202
r8_standard_mastered,standard_ft_mastered,indist,43,20,0.46511627906976744,0.379,0.08611627906976743
r8_standard_mastered,standard_ft_mastered,ood,100,48,0.48,0.3465458663646659,0.1334541336353341
r8_standard_random,standard_ft,indist,57,24,0.42105263157894735,0.379,0.04205263157894734
r8_standard_random,standard_ft,ood,113,58,0.5132743362831859,0.3465458663646659,0.16672846991851997
r8_standard_seed1_held,standard_ft,indist,47,24,0.5106382978723404,0.379,0.13163829787234038
r8_standard_seed1_held,standard_ft,ood,106,55,0.5188679245283019,0.3465458663646659,0.172322058163636
r8_standard_seed2,standard_ft,indist,54,25,0.46296296296296297,0.379,0.08396296296296296
r8_standard_seed2,standard_ft,ood,94,47,0.5,0.3465458663646659,0.1534541336353341
