kind,contrast,split,n_far,n_total,frac_far,p_rp_far,p_sft_far,gap_pp
quartile,Q1_easy,indist,1414,2000,0.707,0.0658,0.0467,1.91
quartile,Q1_easy,ood,2676,3532,0.758,0.0377,0.0362,0.15
quartile,Q1_easy,synthetic,100,145,0.69,0.13,0.15,-2.0
quartile,Q2,indist,1414,2000,0.707,0.0481,0.0424,0.57
quartile,Q2,ood,2676,3532,0.758,0.0299,0.0277,0.22
quartile,Q2,synthetic,100,145,0.69,0.05,0.11,-6.0
quartile,Q3,indist,1414,2000,0.707,0.0339,0.0304,0.35
quartile,Q3,ood,2676,3532,0.758,0.0232,0.0191,0.41
quartile,Q3,synthetic,100,145,0.69,0.1,0.08,2.0
quartile,Q4_hard,indist,1414,2000,0.707,0.0262,0.0233,0.28
quartile,Q4_hard,ood,2676,3532,0.758,0.0273,0.0183,0.9
quartile,Q4_hard,synthetic,100,145,0.69,0.09,0.08,1.0
rank,r16_8k,indist,1414,2000,0.707,0.0212,0.0141,0.71
rank,r16_8k,ood,2676,3532,0.758,0.0235,0.0176,0.6
rank,r16_8k,synthetic,100,145,0.69,0.06,0.07,-1.0
rank,r16_seed1_held,indist,1414,2000,0.707,0.0184,0.0311,-1.27
rank,r16_seed1_held,ood,2676,3532,0.758,0.0284,0.0269,0.15
rank,r16_seed1_held,synthetic,100,145,0.69,0.1,0.07,3.0
rank,r8_seed1_held,indist,1414,2000,0.707,0.0212,0.0205,0.07
rank,r8_seed1_held,ood,2676,3532,0.758,0.0239,0.0254,-0.15
rank,r8_seed1_held,synthetic,100,145,0.69,0.07,0.07,0.0
rank,r8_seed2,indist,1414,2000,0.707,0.0226,0.0283,-0.57
rank,r8_seed2,ood,2676,3532,0.758,0.0291,0.0232,0.6
rank,r8_seed2,synthetic,100,145,0.69,0.17,0.15,2.0
rank,r32,indist,1414,2000,0.707,0.0219,0.0212,0.07
rank,r32,ood,2676,3532,0.758,0.0235,0.0198,0.37
rank,r32,synthetic,100,145,0.69,0.09,0.05,4.0
